,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
137,Tecpr2,0.9389788293897884,0.8112213267203968,1.1574878500616954,1.5123584270477295,1.1029287576675415,1.5059586763381958,0.0170043563236403,26,[14]
80,Rpl26,0.937733499377335,0.8016119032858029,1.1698098487978663,1.7396860122680664,1.1983914375305176,1.7182296514511108,0.000293722900172,26,[14]
144,Rps11,0.9364881693648816,0.7882827030378178,1.1880105522497475,1.6135343313217163,1.1521137952804563,1.586325764656067,0.021605789424772,26,[14]
123,Rpl35a,0.9364881693648816,0.7634841909485431,1.2265979839103158,1.5431307554244995,1.074415922164917,1.597939372062683,0.0101514414756473,26,[14]
169,Calm1,0.9352428393524284,0.8208307501549907,1.1393857249814705,1.6378554105758667,1.2077516317367554,1.5374170541763306,0.0489004912015628,26,[14]
76,Camk1d,0.9327521793275216,0.7796032238065717,1.1964447437417831,1.5883601903915403,1.075034737586975,1.6708383560180664,0.0001783785332365,26,[14]
122,Calr,0.929016189290162,0.8505889646621203,1.0922034353680985,1.6584199666976929,1.2083044052124023,1.568493366241455,0.0092295606715155,26,[14]
32,P4hb,0.929016189290162,0.8084314941103534,1.149158829236987,1.817720651626587,1.1654844284057615,1.919829249382019,5.082903308220529e-09,26,[14]
110,Rpl6,0.9240348692403488,0.7300061996280223,1.2657904408362486,1.4884599447250366,1.0028754472732544,1.62512469291687,0.0048116259269076,26,[14]
98,Cox7c,0.9227895392278954,0.7895226286422815,1.1687942887904164,1.6529637575149536,1.1451420783996582,1.6616674661636353,0.0025318825256412,26,[14]
118,Rpl5,0.9202988792029888,0.7634841909485431,1.2053934974863345,1.5938009023666382,1.1087868213653564,1.6241977214813232,0.0069446609841367,26,[14]
50,Il31ra,0.9190535491905356,0.7086174829510229,1.2969670821035293,1.4375392198562622,0.8995146751403809,1.7126202583312988,1.1737284764213344e-06,26,[14]
116,Cct7,0.9153175591531756,0.7932424054556727,1.1538938826995484,1.508166790008545,1.0615055561065674,1.563084602355957,0.0064583997908098,26,[14]
156,Eif5a,0.9140722291407224,0.7628642281463113,1.1982108944363956,1.5319689512252808,1.0849159955978394,1.5636969804763794,0.0291230716178883,26,[14]
73,Ldha,0.912826899128269,0.7433353998760074,1.2280148359415328,1.6273986101150513,1.058957576751709,1.765512466430664,0.0001670631392751,26,[14]
78,Btbd9,0.9078455790784558,0.703347799132052,1.2907491573852352,1.3543286323547363,0.8680148720741272,1.626310110092163,0.0002404397120011,26,[14]
101,D130009I18Rik,0.9028642590286424,0.7197768133911965,1.2543669679700262,1.3842930793762207,0.9260639548301696,1.5812711715698242,0.0034046202423039,26,[14]
134,Rpl7a,0.9028642590286424,0.7138871667699938,1.264715631622406,1.520506501197815,1.027845025062561,1.6366664171218872,0.0149437092245754,26,[14]
15,Rps27l,0.8841843088418431,0.6398016119032858,1.3819663664359427,1.6166552305221558,0.8401331305503845,2.173898458480835,1.0132408986651295e-14,26,[14]
64,Cd44,0.8829389788293898,0.6407315561066336,1.37801700324316,1.346177577972412,0.8120889663696289,1.7058929204940796,2.9774731165135557e-05,26,[14]
129,Rpl24,0.8792029887920298,0.6785492870427774,1.2957098409516166,1.3693411350250244,0.9046205282211304,1.5915695428848269,0.0133688312084922,26,[14]
4,Selenop,0.8767123287671232,0.5700557966522009,1.537941257532757,1.6113717555999756,0.6357962489128113,2.652693510055542,3.108563049108121e-20,26,[14]
31,Ppib,0.8767123287671232,0.6667699938003719,1.314864701349484,1.4724833965301514,0.8163895606994629,1.9272493124008176,4.28657188787935e-09,26,[14]
157,Rps16,0.8742216687422167,0.6661500309981401,1.3123495129652822,1.3698022365570068,0.9132327437400818,1.5786491632461548,0.0298016452563208,26,[14]
68,Rpl10,0.8704856787048568,0.6670799752014879,1.3049195164971508,1.486510157585144,0.9102110266685486,1.7794407606124878,7.92260388170179e-05,26,[14]
1,Mt2,0.8679950186799502,0.3729076255424674,2.3276408397851367,1.574551343917847,0.3966717720031738,3.247480869293213,3.0506297359378126e-48,26,[14]
140,Atp5j2,0.8480697384806973,0.6546807191568506,1.295394401675535,1.2478790283203125,0.805375337600708,1.5565996170043943,0.0192891449221768,26,[14]
90,Gm19951,0.8418430884184309,0.5774953502789832,1.4577486866547815,1.1312528848648071,0.6737039685249329,1.5801960229873655,0.0013338506862541,26,[14]
153,Hsp90b1,0.8343711083437111,0.661810291382517,1.2607406067994436,1.236759066581726,0.7993815541267395,1.5486406087875366,0.026950828099257,26,[14]
95,Slc25a5,0.8306351183063512,0.6081835089894606,1.3657639610888324,1.218645453453064,0.7266741394996643,1.6355372667312622,0.0018870795268093,26,[14]
151,Fkbp4,0.8169364881693649,0.601983880967142,1.3570736924996762,1.1352260112762451,0.710187554359436,1.529649257659912,0.0255796652781621,26,[14]
61,Sec61b,0.8069738480697385,0.5644761314321141,1.4295978220060277,1.301039218902588,0.6969357132911682,1.8296111822128296,1.532372287719813e-05,26,[14]
166,Tceal9,0.8069738480697385,0.6227526348419095,1.2958176375674348,1.2692756652832031,0.8019124269485474,1.595780849456787,0.0390371342233295,26,[14]
120,Gm15564,0.8044831880448319,0.5778053316800992,1.3923083501248004,1.071815013885498,0.6410932540893555,1.5383673906326294,0.0082584253061561,26,[14]
126,Hspa8,1.0,0.975177304964539,1.0254545454545454,2.52927041053772,2.0117411613464355,1.6778769493103027,3.1259962347696763e-06,29,[27]
37,Nnat,1.0,0.9716312056737588,1.0291970802919708,2.699817419052124,1.9112623929977417,2.200215101242065,7.251611569155154e-14,29,[27]
41,Tmsb4x,1.0,0.99822695035461,1.0017761989342806,3.836082220077514,2.988128662109375,2.3348636627197266,9.432625835222698e-13,29,[27]
4,Stmn2,1.0,0.8049645390070922,1.2422907488986783,2.886265754699707,1.17225980758667,5.551154613494873,6.354412209983821e-23,29,[27]
147,Ubb,1.0,0.9893617021276596,1.010752688172043,2.64111328125,2.1685826778411865,1.604048252105713,2.692512747924385e-05,29,[27]
6,Tuba1a,1.0,0.99822695035461,1.0017761989342806,3.9121253490448,2.7248401641845703,3.2781693935394287,3.154253746425733e-22,29,[27]
66,Tubb5,1.0,0.9946808510638298,1.0053475935828875,3.0625791549682617,2.427020788192749,1.8880761861801147,1.0856574134223564e-09,29,[27]
24,Basp1,1.0,0.824468085106383,1.2129032258064516,2.1403698921203613,1.1432377099990845,2.7104973793029785,1.6119325248325455e-16,29,[27]
85,Gnas,1.0,0.975177304964539,1.0254545454545454,2.666321992874145,2.0641560554504395,1.826069712638855,2.2102519865541082e-08,29,[27]
18,Meg3,1.0,0.9822695035460992,1.0180505415162455,2.5782177448272705,1.7203648090362549,2.3580923080444336,9.550392152692153e-18,29,[27]
63,Calm1,0.9966216216216216,0.9592198581560284,1.0389918569216166,2.5608131885528564,1.8211561441421509,2.095216751098633,7.07050093361086e-10,29,[27]
0,Uchl1,0.9966216216216216,0.8776595744680851,1.1355446355446357,3.055140256881714,1.354421854019165,5.477880954742432,8.896327603172264e-30,29,[27]
3,Tubb2a,0.9966216216216216,0.6879432624113475,1.448697408748955,2.478797435760498,0.8130930662155151,5.289397716522217,1.0689738742312178e-24,29,[27]
136,Gm26825,0.9932432432432432,0.9716312056737588,1.0222430459656735,2.212806940078736,1.7346036434173584,1.613173484802246,9.242995065109275e-06,29,[27]
1,Nefl,0.9898648648648648,0.3226950354609929,3.067493317493317,2.6640844345092773,0.3746198713779449,9.86964988708496,7.329550066802948e-29,29,[27]
8,Stmn3,0.9898648648648648,0.599290780141844,1.6517271709579402,2.24838662147522,0.709614634513855,4.658865928649902,9.13484406000321e-22,29,[27]
26,Rtn4,0.9898648648648648,0.8687943262411347,1.1393546607832323,2.111658334732056,1.1951724290847778,2.500487804412842,4.383607546631661e-16,29,[27]
9,Mapt,0.9898648648648648,0.75,1.31981981981982,2.115427255630493,0.8823903203010559,3.43163537979126,3.3454662618227018e-21,29,[27]
106,Cd24a,0.9864864864864864,0.952127659574468,1.0360863656953043,2.288740873336792,1.6915502548217771,1.8170069456100464,4.867966114462755e-07,29,[27]
20,Dpysl3,0.9864864864864864,0.7039007092198581,1.401456872489618,2.203651666641236,0.9694802165031432,3.435530424118042,3.662080491804503e-17,29,[27]
13,S100a10,0.9864864864864864,0.6205673758865248,1.5896525096525098,1.945236086845398,0.6835572123527527,3.53134560585022,3.0547142961518374e-19,29,[27]
10,Klc1,0.983108108108108,0.6985815602836879,1.4072918095760736,2.221073865890503,0.8735799193382263,3.8477704524993896,1.0288954302363493e-19,29,[27]
12,Gap43,0.9797297297297296,0.5602836879432624,1.7486315429353405,2.144181251525879,0.6495208740234375,4.457822322845459,2.4759771354505395e-19,29,[27]
74,Scd2,0.9763513513513512,0.8297872340425532,1.1766285516285515,1.8669389486312864,1.1382243633270264,2.0724151134490967,4.611713293139099e-09,29,[27]
178,Ndufa4,0.9763513513513512,0.9361702127659576,1.0429207616707616,2.139162302017212,1.6232213973999023,1.6752138137817385,0.0002099633406533,29,[27]
14,Rtn1,0.9763513513513512,0.599290780141844,1.6291779945626097,1.9994711875915527,0.7068040370941162,3.642488479614258,1.1297013530578044e-18,29,[27]
2,Prph,0.9763513513513512,0.2216312056737588,4.405297297297297,2.656456708908081,0.284004658460617,10.723654747009276,2.784892047043736e-25,29,[27]
29,Tubb2b,0.9763513513513512,0.7304964539007093,1.3365586460246652,1.8991988897323608,0.9084551930427552,2.6932365894317627,3.93895019287002e-15,29,[27]
32,Map1b,0.9763513513513512,0.7021276595744681,1.3905610155610155,2.175337314605713,0.9869568943977356,3.28176212310791,6.513034712396733e-15,29,[27]
221,Cox7c,0.972972972972973,0.9219858156028368,1.0553014553014557,2.120110988616944,1.6484893560409546,1.602590799331665,0.0009512698407841,29,[27]
46,Calm2,0.972972972972973,0.8280141843971631,1.1750680016204642,2.2259342670440674,1.258091688156128,2.6322596073150635,1.0208689131307653e-11,29,[27]
16,Tubb3,0.972972972972973,0.5851063829787234,1.662899262899263,1.9325920343399048,0.6643071174621582,3.554750680923462,6.6350116691026914e-18,29,[27]
335,Atp5g3,0.9695945945945946,0.9148936170212766,1.059789440603394,1.9472464323043823,1.5353697538375854,1.509648084640503,0.0147321306654273,29,[27]
122,Ywhaz,0.9662162162162162,0.8421985815602837,1.1472546230440968,1.7824387550354004,1.1703269481658936,1.844322204589844,2.296237836575276e-06,29,[27]
230,Stmn1,0.9662162162162162,0.8634751773049646,1.1189855152894166,1.946524977684021,1.4320112466812134,1.672824740409851,0.0011673864014628,29,[27]
