Unnamed: 0,combined_pvalue,adjusted_pvalue,genes
493,2305,1.11022302462516e-16,5.3329264322189e-15,KIFAP3
497,2340,2.2204460492503099e-16,1.00733054830801e-14,PRDX6
498,2354,2.84789399795926e-06,7.4696883570457e-05,RABGAP1L
499,2357,2.9489015673789304e-09,9.50543995807343e-08,CACYBP
503,2370,1.55108724302355e-05,0.0003799808981166,ASTN1
504,2371,5.7739839576243e-09,1.82751163723282e-07,BRINP2
505,2377,9.14856961169441e-05,0.0020859924693192,RASAL2
508,2399,0.0011682861158585,0.0234669873219035,TOR1AIP1
513,2415,2.64896106005885e-05,0.0006377111563984,IER5
514,2419,6.88499719938562e-05,0.001593600567258,CACNA1E
515,2426,5.55e-17,3.0053560136053704e-15,GLUL
517,2441,1.8431034476407097e-11,6.74713373074443e-10,NMNAT2
519,2444,5.55e-17,3.0053560136053704e-15,ARPC5
521,2448,1.07374520474934e-06,2.9162196950473e-05,COLGALT2
526,2459,1.64313007644523e-14,6.92583081734141e-13,IVNS1ABP
529,2500,0.0001008361833774,0.0022915174958347,UCHL5
530,2502,6.369793581484369e-11,2.26021688546183e-09,GLRX2
531,2504,5.55e-17,3.0053560136053704e-15,B3GALT2
533,2528,1.11022302462516e-16,5.3329264322189e-15,NEK7
534,2547,0.0020404137888949,0.0398100278744901,CAMSAP2
537,2563,1.8235302157165698e-11,6.67947361122034e-10,PHLDA3
538,2564,1.11022302462516e-16,5.3329264322189e-15,CSRP1
539,2566,2.2174447009693e-06,5.87141412023598e-05,NAV1
541,2571,1.12387876782805e-12,4.3646891692152e-11,SHISA4
542,2574,1.24374328613897e-08,3.8431970010388e-07,TIMM17A
543,2579,2.60136500807029e-06,6.8406497276668e-05,GPR37L1
544,2580,5.55e-17,3.0053560136053704e-15,ARL8A
549,2594,0.0009614701211223,0.0194852902843506,CYB5R1
550,2595,0.0001735652788539,0.0038597969806648,TMEM183A
551,2596,6.00569358935044e-05,0.0013985338092536,PPFIA4
552,2598,1.37667655053519e-14,5.83081375472897e-13,ADORA1
553,2606,1.15829057456551e-09,3.83038199755524e-08,BTG2
554,2610,2.0004186751521e-08,6.12877466098324e-07,ATP2B4
557,2627,0.000801358276167,0.0164252383715541,PPP1R15B
559,2634,5.55e-17,3.0053560136053704e-15,NFASC
560,2635,1.11022302462516e-16,5.3329264322189e-15,CNTN2
562,2639,5.55e-17,3.0053560136053704e-15,TMCC2
563,2647,5.55e-17,3.0053560136053704e-15,CDK18
564,2648,5.55e-17,3.0053560136053704e-15,MFSD4A
565,2651,1.11022302462516e-16,5.3329264322189e-15,NUCKS1
567,2672,1.11022302462516e-16,5.3329264322189e-15,MAPKAPK2
568,2681,2.8254065753685596e-11,1.02269501824032e-09,PFKFB2
569,2695,8.861800182558e-12,3.3033146042004503e-10,CD46
571,2708,4.915312157294241e-09,1.56138363025773e-07,CAMK1G
572,2721,3.74149600190776e-11,1.3463292377723e-09,KCNH1
575,2735,1.6643625975199e-06,4.44732514329785e-05,LPGAT1
577,2744,5.55e-17,3.0053560136053704e-15,NENF
578,2753,2.09375994231209e-06,5.55833655664891e-05,NSL1
579,2769,5.55e-17,3.0053560136053704e-15,SMYD2
581,2799,0.0008697657389431,0.017756059398616,EPRS
584,2806,0.0005680259653834,0.0118650553926438,MARK1
585,2807,5.55e-17,3.0053560136053704e-15,C1orf115
588,2831,7.47440775938912e-10,2.50281430645831e-08,BROX
590,2842,5.771172428836729e-11,2.05256278596175e-09,CAPN2
591,2843,7.77043540622913e-10,2.59909741854811e-08,TP53BP2
